FROM	STATE	ZIP	TO	STATE	ZIP	MAX	MIN	AVG	COUNT
BOONE	IA	50036	MALVERN	PA	19355	3450.00	3450.00	3450	1
CLAYSBURG	PA	16625	EWING	NJ	08628	950.00	950.00	950	5
ATLANTA	GA	30341	RICHMOND	CA	94804	3757.44	3757.44	3757	1
MOUNTAIN LAKES	NJ	07046	PORTAGE	MI	49002	2167.22	2167.22	2167	1
SWEDESBORO	NJ	19803	AMES	IA	50010	4990.00	4990.00	4990	1
MANCHESTER	CT	06045	CARLSTADT	NJ	07072	550.00	550.00	550	1
CLIFTON	NJ		NEW CASTLE	DE		495.00	495.00	495	1
ROCKFORD	IL	61109	PHOENIXVILLE	PA	19460	1912.68	1912.68	1913	1
MIDDLETOWN	VA	22645	CHAMPLIN	MN	55316	1300.00	1300.00	1300	1
MINNEAPOLIS	MN	55442	WHITEHOUSE	NJ	08888	2600.00	2600.00	2600	2
PHILADELPHIA	PA	19154	WESTBOROUGH	MA	01581	1100.00	1100.00	1100	1
ROCKLAND	MA	02370	SWEDESBORO	NJ	08085	900.00	550.00	725	2
HORSHAM	PA	19044	ROCKFORD	IL	61109	1934.42	1631.55	1783	2
AUSTIN	TX	78744	EWING	NJ	08618	3480.00	3480.00	3480	1
MANCHESTER	CT	06045	SHEPHERDSVILLE	KY	40165	1100.00	1100.00	1100	1
HURLOCK	MD	21643	AUSTIN	TX	78744	2300.00	2300.00	2300	1
STERLING 	PA	18463	MAQUOKETA	IA	18463	1150.00	1150.00	1150	1
ROCKLAND	MA	02370	EWING 	NJ	08618	950.00	550.00	607	7
AUSTIN	TX	78744	DALLAS	TX	75215	415.00	415.00	415	1
ROCKFORD	IL	61109	MEMPHIS	TN	38141	2550.00	1950.30	2250	2
AUSTIN	TX	78744	CORPUS CHRISTI	TX	78409	450.00	450.00	450	1
CHICAGO	IL	60651	TRENTON	NJ	08638	1900.00	1900.00	1900	1
ROCKFORD	IL	61109	DURHAM	NC	27704	1998.49	1998.49	1998	1
MIDDLETOWN	VA	22645	TAMPA	FL	33612	1450.00	1450.00	1450	1
MEBANE	NC	27302	ROCKFORD	IL	61109	1250.00	1000.00	1150	5
LENEXA	KS	66219	RICHARDSON	TX	78081	980.00	980.00	980	1
READING	PA	19605	CLAYSBURG	PA	16625	550.00	550.00	550	1
PENNSAUKEN	NJ	08110	NEW CASTLE 	DE	19720	550.00	550.00	550	1
LANCASTER	PA	17601	EWING	NJ	08638	575.00	575.00	575	1
LOUISBURG	NC	27549	HAMPSHIRE	IL	60140	1375.00	1200.00	1258	3
CHICAGO	IL	60651	EWING 	NJ	08618	1375.00	1375.00	1375	1
GREENSBORO	NC	27409	ROCKFORD	IL	61109	1250.00	1250.00	1250	1
BALTIMORE	MD	21226	APPLETON	WI	54915	1556.00	1556.00	1556	1
HATFIELD	PA	19440	CLEVELAND	OH	44135	700.00	700.00	700	1
ROCKLAND	MA	02370	TRENTON	NJ	08638	850.00	595.00	722	2
TRENTON	NJ	08628	HOUSTON	TX	77032	2200.00	2200.00	2200	1
DOYLESTOWN	PA	18902	EWING	NJ	08618	375.00	375.00	375	1
AUSTIN	TX	78744	EWING	NJ	08628	3580.00	3580.00	3580	1
MOREHEAD CITY	NC	28557	KINGSTON	NH	03848	2235.00	2235.00	2235	1
HATFIELD	PA	19440	DELAWARE	OH	43015	795.00	795.00	795	1
MIDDLETOWN	VA	22645	ROMULUS	MI	48174	1100.00	1100.00	1100	1
ROCKFORD	IL	61109	TAMPA	FL	33607	3611.26	3400.00	3498	4
HUNTLEY	IL	60142	ROCKFORD	IL	61109	774.58	450.00	522	8
LANCASTER	PA	17601	ADDISON	TX	75001	2300.00	2150.00	2225	2
OWENSVILLE	MO	65066	EWING	NJ	08638	2390.00	2390.00	2390	2
NEWBURYPORT	MA	01950	EWING	NJ	08618	700.00	550.00	595	13
SWEDESBORO	NJ	08085	BUFFALO	NY	14213	800.00	800.00	800	1
LOUISVILLE	KY	40228	SWEDESBORO	NJ	08085	1600.00	1600.00	1600	1
HOLLISTON	MA	01746	MT PROSPECT	IL	60056	1000.00	1000.00	1000	1
TRENTON	NJ	08628	TRENTON	NJ	08628	650.00	650.00	650	2
CONYERS	GA	30012	CARLSTADT	NJ	07072	1679.80	1679.80	1680	1
YORK	PA	17402	ROCKFORD	IL	61109	1125.00	850.00	1017	6
MIDDLETOWN	VA	22645	OVERLOAND PARK	KS	66211	1375.00	1375.00	1375	1
HORSHAM	PA	19044	SOUTH PLAINFIELD	NJ	07080	0	0	0	1
HATFIELD	PA	19440	WILMINGTON	OH	45117	700.00	700.00	700	1
LITTLE FALLS	NJ	07424	CHARLOTTE	NC	28273	925.00	925.00	925	1
LOS ANGELES	CA	90039	HORSHAM	PA	19044	4980.00	4980.00	4980	1
ROCKLAND	MA	02370	AUSTIN	TX	78744	3300.00	2200.00	2704	14
MANCHESTER	CT	06045	SOMERSET	NJ	08873	550.00	395.00	482	3
CLAYSBURG	PA	16625	TRENTON	NJ		800.00	800.00	800	1
CHICAGO	IL	60651	EWING	NJ	08628	1900.00	1850.00	1875	2
TORRANCE	CA	90504	SANTA CLARA	CA	90504	1590.00	1590.00	1590	1
CARY	NC	27518	ORLANDO	FL	32830	1250.00	1250.00	1250	1
KALMAZOO	MI	49008	TACOMA	WA	98424	3900.00	3900.00	3900	1
SWEDESBORO	NJ	08085	WINONA	MN	55987	1150.00	1150.00	1150	1
PHILADELPHIA	PA	19134	AUSTIN	TX	78744	3000.00	2070.00	2492	8
MANCHESTER	CT	06045	NEW CASTLE	DE	19720	600.00	600.00	600	1
GREENVILLE	SC	07065	RAHWAY	NJ	07065	1600.00	1600.00	1600	1
ROCKLAND	MA	02370	EWING	NJ	08638	550.00	550.00	550	1
CONYERS	GA	30012	BREININGSVILLE	PA	18031	1940.46	1500.00	1695	14
EWING	NJ	08618	COVINGTON	GA	30014	1850.00	1850.00	1850	1
CHATSWORTH	GA	30705	LOUISBURG	NC	27549	800.00	795.00	798	2
CLAYSBURG	PA	16625	EWING	NJ	08618	1150.00	650.00	891	35
BROOMFIELD	CO	80020	TORRANCE	CA	90504	1690.00	1690.00	1690	1
TORRANCE	CA	90504	SECAUCUS	NJ	07094	4980.00	4980.00	4980	1
LOUISBURG	NC	27549	FT WORTH	TX	76111	1800.00	1800.00	1800	1
MIDDLETOWN	VA	22645	CHARLOTTE	NC	28273	850.00	850.00	850	1
MIDDLETOWN	VA	22645	WARRENDALE	PA	15086	600.00	600.00	600	1
LAVERGNE	TN	37086	MEMPHIS	TN	38141	1500.00	1500.00	1500	1
MIDDLETOWN	VA	22645	EARTH CITY	MO	63045	1000.00	1000.00	1000	1
CLAYSBURG	PA	16625	TRENTON	NJ	08618	800.00	800.00	800	1
MAQUOKETA	IA	52060	EWING	NJ	08628	2450.00	2450.00	2450	2
OWENSVILLE	MO	65066	TRENTON	NJ	08638	2390.00	2390.00	2390	3
PUTNAM	CT	06260	SOMERSET	NJ	08873	800.00	550.00	675	2
PHILADELPHIA	PA	19154	LEBANON JUNCTION	KY	40150	1150.00	1150.00	1150	1
ROCKFORD	IL	61109	HORSHAM	PA	19044	1631.55	1631.55	1632	1
TORRANCE	CA	90504	CHULA VISTA	CA	91910	650.00	650.00	650	1
ROANOKE	IN	46783	LAS VEGAS	NV	89118	2900.00	2900.00	2900	1
NEWBURYPORT	MA	01950	SWEDESBORO	NJ	08085	750.00	750.00	750	1
COLUMBIA	PA	17512	AUSTIN	TX	78744	2500.00	2100.00	2300	2
MAQUOKETA	IA	52060	SWEDSEBORO	NJ	08085	2200.00	2200.00	2200	1
HATFIELD	PA	19440	MARION	IN	46953	950.00	950.00	950	1
MIDDLETOWN	VA	22645	WAUKEGAN	IL	60085	900.00	900.00	900	2
ROCKLAND	MA	08618	EWING	NJ	08618	550.00	550.00	550	1
PENNSAUKEN	NJ	08109	NORTH LAKE	IL	60164	950.00	950.00	950	2
PHILADELPHIA	PA	19154	HARTFORD	WI	53027	1400.00	1250.00	1325	2
LENEXA	KS	66219	MANCHESTER	CT	06042	2600.00	2600.00	2600	1
ELKTON	MD	21921	FLAGSTAFF	AZ	86005	4980.00	4980.00	4980	1
MIDDLETOWN	VA	22645	DEPEW	NY	14043	450.00	450.00	450	1
ALPHARETTA	GA	30005	LAVERGNE	TN	37086	825.00	825.00	825	1
ALLENTOWN	PA	18106	KANSAS CITY	MO	64137	4273.58	4273.58	4274	1
SWEDESBORO	NJ	08085	FAIRFIELD	OH	45014	700.00	700.00	700	1
SWEDESBORO	NJ	08085	EWING 	NJ	08638	375.00	375.00	375	1
HOLLISTON	MA	01746	BREININGSVILLE	PA	18031	605.00	550.00	594	6
HATFIELD 	PA	19440	WILMINGTON	OH	45177	875.00	875.00	875	1
MANSFIELD	MA	02048	SHEPHERDSVILLE	KY	40165	1650.00	1100.00	1317	3
CHICAGO	IL		EWING 	NJ	08618	1900.00	1900.00	1900	1
EWING	NJ	08618	CLAYSBURG	PA	16625	950.00	850.00	900	2
MONTGOMERYVILLE	PA	18936	SHEPHERDSVILLE	KY	40165	1150.00	850.00	1012	4
MIDDLETOWN	VA	22645	WESTON 	FL	33331	2000.00	2000.00	2000	1
BRIGHTON	MI	48116	LANDENBERG	PA	19350	815.00	815.00	815	1
PUTNAM	CT	06260	SWEDESBORO	NJ	08085	600.00	575.00	596	6
TORRINGTON	CT	06790	EWING	NJ	08618	595.00	595.00	595	1
HATFIELD	PA	19440	LOUISVILLE	KY	19440	750.00	750.00	750	1
CLAYSBURG	PA	16625	PHILADELPHIA	PA	19134	900.00	900.00	900	1
MIDDLETOWN	VA	22645	ONTARIO	CA	91761	2950.00	0	1950	3
KANKAKEE	IL	60901	MALVERN	PA	19355	2890.00	1800.00	2400	5
MIDDLETOWN	VA	22645	HOUSTON	TX	77073	1800.00	1800.00	1800	1
ROCKLAND	MA	02370	TRENTON	NJ	08618	500.00	500.00	500	1
MAQUOKETA	IA	52060	EWING 	NJ	08618	2250.00	2000.00	2142	6
CLAYSBURG	PA	16625	SWEDESBORO	NJ	08085	850.00	850.00	850	1
